00:37:37:030 [WARN]	SSL certificate signed by unknown CA
00:37:37:031 [WARN]	SSL certificate signed by unknown CA
00:37:37:031 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:031 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:034 [WARN]	SSL certificate signed by unknown CA
00:37:37:034 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:034 [WARN]	SSL certificate signed by unknown CA
00:37:37:035 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:037 [WARN]	SSL certificate signed by unknown CA
00:37:37:037 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:037 [WARN]	SSL certificate signed by unknown CA
00:37:37:038 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:040 [WARN]	SSL certificate signed by unknown CA
00:37:37:040 [WARN]	SSL certificate signed by unknown CA
00:37:37:041 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:041 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
00:37:37:043 [WARN]	SSL certificate signed by unknown CA
00:37:37:043 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
